oj 哀,埃
dzjep 捷,寁
ket 結,潔,絜,拮,袺
khjit 詰
kjet 桀,訐
tset 節,卪,卩
keaX 解
dzjaeH 藉
kaejH 犗
keajH 戒,介,界,誡,芥,疥,屆,丯
tsjaeH 借
kim 今,金,襟,䘳
kin 巾
king 矜,兢
kj+n 斤,筋
tsin 津
gin 矜,堇
ginH 僅,饉,殣,墐
kimX 錦
kj+nX 謹,堇,蓳
kjinX 緊
tsinX 盡
dzinX 盡
dzinH 燼
gj+n 勤,慬,懃,芹
gj+nX 近
gj+nH 近
kimH 禁
kj+nH 蓳
tsinH 晉,進
gjaeng 鯨
heang 莖,牼
keng 經,巠
kjaeng 京,荊,驚
tsjeng 精,靖,旌,晶,睛
gjieng 頸
kengX 剄
kjaengX 景,境,警
kjiengX 頸
tsjengX 井,丼
dzjengH 淨,凈
gjaengH 競
hengH 脛
kengH 徑,逕
kjaengH 敬,竟,鏡
kjiengH 勁
kweng 扃,坰
khwengX 褧
kjwaengX 囧
kjiw 繆,樛,丩,摎
kjiwX 糾
kjuwH 救,究,廄,疚,㝌
kjuwX 九,久,灸,韭
tsjuwX 酒
dzjuwH 就
gjuwX 咎,舅,臼
gjuwH 舊,柩
kjo 居,車,据
kjoH 居,據,踞,鋸,据
kjuwk 鞠,鞫,菊,𦥑
tshjo 雎,岨,鴡,砠
tsjo 且
tsju 諏,娵,掫
gjowk 局
kjwit 橘,繘
kwek 鵙,狊,鶪
dzjoX 沮
kjoX 舉,莒,筥
kjuX 矩,拒,枸
dzjuX 聚
dzjuH 聚
gjoX 巨,拒,粔
gjoH 遽,醵
gjuH 懼,具
kju 俱,拘
kjuH 句,屨,䀠,鞻
tsjuH 足
kjwenX 卷,捲
kwenX 畎,𡿨
gjwenX 圈
kjwenH 眷,睠
kjwienH 絹
dzjwet 絕
gjak 蹻,𧮫
gjut 掘,倔
gjwot 掘,蹷
kjwak 攫,矍,躩
kjwot 厥,蹶,蕨
kwet 決,譎,袂,訣
tsjak 爵,雀,爝
kjun 君,軍
kjwin 均,鈞
kwin 麇,麕,麏
gjunH 郡
gwinX 菌
tswinH 俊,駿
khoj 開
khojX 豈,愷,凱,闓,鎧,塏
khojH 欬,慨,咳,鎧,嘅
xj+jH 氣,訖,餼,愾,塈
khan 看
khom 堪,戡
khomX 坎,埳,欿,竷
ngim 吟,𠪚
khanH 看
khang 康,慷
khangH 抗
khaw 尻
khawX 考,槁,丂
khawH 犒
khwa 科,薖
khaX 可
khat 渴
khaek 客,慤
khok 克,刻
khongX 肯
kheang 鏗,硜,牼
khuwng 空,悾
khjowngX 恐
khuwngX 孔,空
khuwngH 控
khuwX 口,叩
khuwH 寇,叩
khu 枯
khuwk 哭
khwot 窟,堀
khuX 苦
khowk 酷
khuH 庫,袴
khwae 夸,誇
khweajH 蒯,喟,塊,簣
khwaejH 噲,快
khwojH 塊
khwan 寬
khjwang 匡,筐
gjwang 狂
khwangH 曠,壙,纊
xjwangH 況
khjwe 虧
khjwie 窺,闚
gjwij 葵
gjwijX 揆
gwij 逵,頄,頯,馗,戣
khwej 睽,奎
khwoj 恢,魁
hwojH 潰
khwijH 喟
kwijH 愧
ngweajH 聵
khwon 坤,髠
kwon 昆,崑,䖵,𥊽
khwonX 梱,稇
khwonH 困
khwak 廓,擴,鞟
khwat 闊
lap 臘,蠟
lat 剌,糲,辣
lop 拉
loj 來,𧳟
lajH 賴,糲,瀨,籟
lojH 賚
lanX 瀾,嬾,懶
lam 藍,籃
lan 蘭,闌
lom 婪
lanH 爛,爤
lang 郎,狼,琅,浪,廊,螂,稂,啷
ljang 梁,良,量,糧,涼,粱,樑,俍
langX 朗
law 勞,牢
lawX 老,潦
lawH 勞
lak 樂,落,絡,駱,轢,𤻲
lok 勒,肋
ljwe 累,羸
lwij 纍,縲
lwoj 雷,罍,靁
ljweX 累,厽
lwijX 壘,耒,誄
lwijH 類,率,淚
lwojH 耒,儽
lej 黎,犁,犂
li 釐,狸,貍,厘,犛
lij 犁,梨,棃
lje 離,蠡,驪,罹,纚
nrij 尼,怩,秜
lejX 禮,蠡,醴,豊,鱧
liX 里,理,李,裏,鯉,裡
lejH 隸,麗,戾,荔,涖,㸚,隷
lek 歷,曆,櫟,鬲,礫,轢,秝,䰜,䟏,𩰲
liH 吏
lijH 利,蒞
lik 力
lip 立,粒,笠
lit 栗,慄
ljeH 離,詈
ljejH 厲,癘,礪,糲,勵,蠣
syak 鑠,爍,䟏
len 憐,蓮
ljem 廉,鎌,奩,簾,磏,蘞
ljen 連,聯,漣,璉
ljemX 斂
lenH 練,鍊,楝
ljemH 斂
ljenH 僆
ljwenX 孌
ljwenH 戀
ljangX 兩,㒳
ljangH 量,亮,諒
lew 遼,僚,聊,繚,寥,寮,鷯
lewH 料
ljewH 尞
ljep 獵,躐
ljet 列,烈,裂,冽
lim 臨,林,淋
lin 鄰,麟,鱗,粦,磷,隣
linH 吝
leng 令,靈,零,泠,齡
ling 陵,凌,夌
ljeng 令
ljengX 領,嶺
ljengH 令
ljiw 鏐
ljuw 流,劉,留,旒,摎,鏐
ljuwX 柳,罶
ljuwH 翏
ljuwk 六,戮,陸
ljowng 龍
ljuwng 隆
luwng 聾,籠
ljowngX 隴
luwngX 籠
lju 婁
luwH 漏,陋,鏤
ljo 廬,閭,藘
lu 盧,鑪,蘆,爐,𧆨
luX 魯,虜,鹵,櫓
ljowk 錄,綠,菉
luH 路,露,賂,輅
luwk 祿,鹿,彔,琭,睩,盝,㯟
lwan 欒,鸞,䜌,巒,鑾
srjwenH 孿
srwaenH 孿
lwaX 卵,裸,倮,蠃,臝
lwanX 卵
lwanH 亂,𤔔
lwin 論,倫,輪,綸
lwon 論,崙
lwonH 論
lwat 捋
la 羅,蘿,籮
lwa 螺,腡
lowk 濼
lijX 履
ljoX 呂,旅,儢
ljuX 縷
ljuH 屢
ljoH 慮
lwit 率,律
ljak 略
mae 麻
maeX 馬
maeH 罵
meaj 埋,薶,霾
meaX 買
maejH 邁
meaH 賣
meak 脈,麥,脉
maen 蠻
man 謾,瞞
manX 滿,懣
maenH 慢
manH 曼,漫,謾,幔
mjonH 萬,曼,蔓
maeng 盲,䖟
maewng 龍,駹,尨,厖,哤
mang 芒,茫,忙
mjang 亡,望,忘,鋩
maew 茅,貓
maw 毛,旄
mjuw 謀,繆,牟,矛
maewX 卯,昴,茆
maewH 貌
maewk 瞀,邈,藐
mawH 冒,芼,帽,媢
muwH 茂,戊,貿
mij 眉,麋
mwoj 枚,梅,媒,煤
mijX 美
mwojX 每,浼
meajH 𩎟
mijH 媚,魅
mjiejH 袂
mjijH 寐
mwojH 昧,妹
mwon 門,汶,亹,悶,捫,璊,穈
meang 萌,氓,甍
mjaeng 明,盟,鳴,朙
muwng 蒙,濛
meangX 黽
maengH 孟
mjuwngH 夢
mej 迷,麑,麛
mje 靡,糜
mjie 彌,瀰,冞,𦊮
mjieX 彌,弭,敉,瀰
mejX 米,瀰
mjeX 靡
mek 冪,汨,幦,冖,簚,覓
mit 密
mjit 蜜,謐,𥁑
men 眠
mjien 綿,宀
menX 眄
mjenX 免,勉,冕,俛
mjienX 湎,沔
mjienH 面
mjew 苗
mjiewX 眇,藐,杪,渺
mjewH 廟
mjiewH 妙
met 蔑,幭,𥄕
mjiet 滅
min 閩,緡,旻,珉
mjin 民,泯
minX 閔,敏,憫
mjaengX 皿
